City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
250,Bosaso,11.28,49.18,81.16,41,0,3.91,SO,2020-10-18 21:32:31,Clear
251,Egvekinot,66.32,-179.17,26.42,88,70,3.94,RU,2020-10-18 21:32:31,Clouds
252,Ulcinj,41.93,19.22,55.4,58,0,3.36,ME,2020-10-18 21:32:31,Clear
253,Santa Lucia,27.91,-15.54,69.8,77,20,9.17,ES,2020-10-18 21:32:31,Clouds
254,Aripuana,-9.17,-60.63,76.06,86,100,1.43,BR,2020-10-18 21:32:31,Rain
255,Airai,-8.93,125.41,62.33,61,43,2.3,TL,2020-10-18 21:32:31,Clouds
256,Turayf,31.67,38.66,66.2,29,0,8.05,SA,2020-10-18 21:31:55,Clear
257,Saldanha,-33.01,17.94,57.2,76,100,4.7,ZA,2020-10-18 21:32:32,Clouds
258,Port Hawkesbury,45.62,-61.35,51.8,76,1,3.87,CA,2020-10-18 21:32:32,Clear
259,Goderich,43.75,-81.72,54.0,73,100,1.01,CA,2020-10-18 21:32:33,Clouds
260,Monster,52.03,4.17,52.0,90,100,5.01,NL,2020-10-18 21:32:33,Clouds
261,Guane,22.2,-84.09,82.33,78,26,7.07,CU,2020-10-18 21:32:33,Clouds
262,Poum,-20.23,164.02,74.07,72,0,16.75,NC,2020-10-18 21:31:24,Clear
263,Havre-Saint-Pierre,50.23,-63.6,44.6,56,20,4.12,CA,2020-10-18 21:32:34,Clouds
264,Kroya,-7.63,109.25,64.99,88,99,6.33,ID,2020-10-18 21:32:34,Rain
265,Shirokiy,49.76,129.52,30.76,89,96,5.26,RU,2020-10-18 21:32:02,Clouds
266,San Jose,37.34,-121.89,89.01,25,1,6.93,US,2020-10-18 21:29:33,Clear
267,Kamuli,0.95,33.12,65.19,97,100,2.04,UG,2020-10-18 21:32:34,Clouds
268,Bakewar,26.67,79.18,75.99,32,1,4.23,IN,2020-10-18 21:32:34,Clear
269,Belmonte,-15.86,-38.88,73.4,83,75,6.93,BR,2020-10-18 21:32:34,Rain
270,Ulundi,-28.34,31.42,67.15,78,100,5.35,ZA,2020-10-18 21:32:35,Clouds
271,Grand Haven,43.06,-86.23,43.0,95,100,13.53,US,2020-10-18 21:32:35,Clouds
272,Tromso,69.65,18.96,30.2,86,20,13.87,NO,2020-10-18 21:32:35,Clouds
273,Manavalakurichi,8.13,77.3,80.6,83,20,10.36,IN,2020-10-18 21:32:35,Mist
